"No.","Column Name","Use","Description"
11,"`DrainageCoef2`","`MD`","Example values DrainageEq 3 Coefficient b [-] 3 Recommended [3] for Grass (irrigated) 1.71 Coefficient b [m|m^-1| ] 2 Recommended [3] for EveTr, DecTr, Grass (unirrigated)"
12,"`SoilTypeCode`","`L`","Code for soil characteristics below this surface Provides the link to column 1 of SUEWS_Soil.txt , which contains the attributes describing sub-surface soil for this surface type. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Soil.txt. "
13,"`SnowLimPatch`","`O`","Limit of snow water equivalent when the surface surface is fully covered with snow. Not needed if SnowUse = 0 in RunControl.nml . Example values [mm] 190 EveTr Järvi et al. (2014) [15]  190 DecTr Järvi et al. (2014) [15]  190 Grass Järvi et al. (2014) [15] "
14,"`BaseT`","`MU`","See section 2.2 Järvi et al. (2011); Appendix A Järvi et al. (2014). Example values [°C] 5 EveTr Järvi et al. (2011) [1]  5 DecTr Järvi et al. (2011) [1]  5 Grass Järvi et al. (2011) [1] "
15,"`BaseTe`","`MU`","See section 2.2 Järvi et al. (2011) [1] ; Appendix A Järvi et al. (2014) [15] . Example values [°C] 10 EveTr Järvi et al. (2011) [1]  10 DecTr Järvi et al. (2011) [1]  10 Grass Järvi et al. (2011) [1] "
16,"`GDDFull`","`MU`","This should be checked carefully for your study area using modelled LAI from the DailyState output file compared to known behaviour in the study area. See section 2.2 Järvi et al. (2011) [1] ; Appendix A Järvi et al. (2014) [15] for more details. Example values [°C] 300 EveTr Järvi et al. (2011) [1]  300 DecTr Järvi et al. (2011) [1]  300 Grass Järvi et al. (2011) [1] "
17,"`SDDFull`","`MU`","This should be checked carefully for your study area using modelled LAI from the DailyState output file compared to known behaviour in the study area. See section 2.2 Järvi et al. (2011) [1] ; Appendix A Järvi et al. (2014) [15] for more details. Example values [°C] -450 EveTr Järvi et al. (2011) [1]  -450 DecTr Järvi et al. (2011) [1]  -450 Grass Järvi et al. (2011) [1] "
18,"`LAIMin`","`MD`","leaf-off wintertime value Example values [|m^-2| |m^-2| ] 4. EveTr Järvi et al. (2011) [1]  1. DecTr Järvi et al. (2011) [1]  1.6 Grass Grimmond and Oke (1991) [3] and references therein"
19,"`LAIMax`","`MD`","full leaf-on summertime value Example values [|m^-2| |m^-2| ] 5.1 EveTr Breuer et al. (2003) [36]  5.5 DecTr Breuer et al. (2003) [36]  5.9 Grass Breuer et al. (2003) [36] "
20,"`PorosityMin`","`MD`","leaf-off wintertime value Used only for DecTr (can affect roughness calculation)"
21,"`PorosityMax`","`MD`","full leaf-on summertime value Used only for DecTr (can affect roughness calculation)"
22,"`MaxConductance`","`MD`","Example values [mm |s^-1| ] 7.4 EveTr Järvi et al. (2011) [1]  11.7 DecTr Järvi et al. (2011) [1]  33.1 Grass (unirrigated) Järvi et al. (2011) [1]  40. Grass (irrigated) Järvi et al. (2011) [1] "
23,"`LAIEq`","`MD`","Options 0 Järvi et al. (2011) [1]  1 Järvi et al. (2014) [15]  Coefficients are specified in the following four columns. N.B. North and South hemispheres are treated slightly differently."
24,"`LeafGrowthPower1`","`MD`","Example values LAIEq 0.03 Järvi et al. (2011) [1] 0 0.04 Järvi et al. (2014) [15] 1"
25,"`LeafGrowthPower2`","`MD`","Example values [|K^-1| ] LAIEq 0.0005 Järvi et al. (2011) [1] 0 0.001 Järvi et al. (2014) [15] 1"
26,"`LeafOffPower1`","`MD`","Example values LAIEq 0.03 Järvi et al. (2011) [1] 0 -1.5 Järvi et al. (2014) [15] 1"
27,"`LeafOffPower2`","`MD`","Example values [|K^-1| ] LAIEq 0.0005 Järvi et al. (2011) [1] 0 0.0015 Järvi et al. (2014) [15] 1"
28,"`OHMCode_SummerWet`","`L`","Code for OHM coefficients to use for this surface during wet conditions in summer. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
29,"`OHMCode_SummerDry`","`L`","Code for OHM coefficients to use for this surface during dry conditions in summer. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
30,"`OHMCode_WinterWet`","`L`","Code for OHM coefficients to use for this surface during wet conditions in winter. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
31,"`OHMCode_WinterDry`","`L`","Code for OHM coefficients to use for this surface during dry conditions in winter. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
32,"`OHMThresh_SW`","`MD`","Temperature threshold determining whether summer/winter OHM coefficients are applied [°C] If 5-day running mean air temperature is greater than or equal to this threshold, OHM coefficients for summertime are applied; otherwise coefficients for wintertime are applied. "
33,"`OHMThresh_WD`","`MD`","Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-] If soil moisture (as a proportion of maximum soil moisture capacity) exceeds this threshold for bare soil and vegetated surfaces, OHM coefficients for wet conditions are applied; otherwise coefficients for dry coefficients are applied. Note that OHM coefficients for wet conditions are applied if the surface is wet. "
34,"`ESTMCode`","`L`","Code for ESTM coefficients to use for this surface. Links to SUEWS_ESTMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_ESTMCoefficients.txt. "
35,"`AnOHM_Cp`","`MU`","Volumetric heat capacity for this surface to use in AnOHM [J |m^-3| ]"
36,"`AnOHM_Kk`","`MU`","Thermal conductivity for this surface to use in AnOHM [W m |K^-1| ]"
37,"`AnOHM_Ch`","`MU`","Bulk transfer coefficient for this surface to use in AnOHM [-]"
