"No.","Column Name","Use","Description"
50,"`SnowClearingProfWE`","`L`","Code for snow clearing profile (weekends) Provides the link to column 1 of SUEWS_Profiles.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Profiles.txt. e.g. 1 means use the characteristics specified in the row of input file SUEWS_Profiles.txt which has 1 in column 1 (Code). Providing the same code for SnowClearingProfWD and SnowClearingProfWE would link to the same row in SUEWS_Profiles.txt, i.e. the same profile would be used for weekdays and weekends. "
51,"`AnthropogenicCode`","`L`","Code for modelling anthropogenic heat flux Provides the link to column 1 of SUEWS_AnthropogenicHeat.txt, which contains the model coefficients for estimation of the anthropogenic heat flux (used if AnthropHeatChoice = 1, 2 in RunControl.nml ). Value of integer is arbitrary but must match code specified in column 1 of SUEWS_AnthropogenicHeat.txt. "
52,"`EnergyUseProfWD`","`L`","Code for energy use profile (weekdays) Provides the link to column 1 of SUEWS_Profiles.txt. Look the codes Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Profiles.txt. "
53,"`EnergyUseProfWE`","`L`","Code for energy use profile (weekends) Provides the link to column 1 of SUEWS_Profiles.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Profiles.txt. "
54,"`ActivityProfWD`","`L`","Code for human activity profile (weekdays) Provides the link to column 1 of SUEWS_Profiles.txt. Look the codes Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Profiles.txt. Used for CO2 flux calculation - not used in v2017a "
55,"`ActivityProfWE`","`L`","Code for human activity profile (weekends) Provides the link to column 1 of SUEWS_Profiles.txt. Look the codes Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Profiles.txt. Used for CO2 flux calculation - not used in v2017a "
56,"`IrrigationCode`","`L`","Code for modelling irrigation Provides the link to column 1 of SUEWS_Irrigation.txt, which contains the model coefficients for estimation of the water use (used if WU_Choice = 0 in RunControl.nml ). Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Irrigation.txt. "
57,"`WaterUseProfManuWD`","`L`","Code for water use profile (manual irrigation, weekdays) Provides the link to column 1 of SUEWS_Profiles.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Profiles.txt. "
58,"`WaterUseProfManuWE`","`L`","Code for water use profile (manual irrigation, weekends) Provides the link to column 1 of SUEWS_Profiles.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Profiles.txt. "
59,"`WaterUseProfAutoWD`","`L`","Code for water use profile (automatic irrigation, weekdays) Provides the link to column 1 of SUEWS_Profiles.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Profiles.txt. "
60,"`WaterUseProfAutoWE`","`L`","Code for water use profile (automatic irrigation, weekends) Provides the link to column 1 of SUEWS_Profiles.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Profiles.txt. "
61,"`FlowChange`","`MD`","Difference in input and output flows for water surface [mm |h^-1| ] Used to indicate river or stream flow through the grid. Currently not fully tested! "
62,"`RunoffToWater`","`MD` `MU`","Fraction of above-ground runoff flowing to water surface during flooding [-] Value must be in the range 0-1. Fraction of above-ground runoff that can flow to the water surface in the case of flooding. "
63,"`PipeCapacity`","`MD` `MU`","Storage capacity of pipes [mm] Runoff amounting to less than the value specified here is assumed to be removed by pipes. "
64,"`GridConnection1of8`","`MD` `MU`","The next 8 pairs of columns specify the water flow between grids. The first column of each pair specifies the grid that the water flows to (from the current grid, column 1); the second column of each pair specifies the fraction of water that flow to that grid. The fraction (i.e. amount) of water transferred may be estimated based on elevation, the length of connecting surface between grids, presence of walls, etc. Water cannot flow from the current grid to the same grid, so the grid number here must be different to the grid number in column 1. Water can flow to a maximum of 8 other grids. If there is no water flow between grids, or a single grid is run, set to 0. See section on Grid Connections"
65,"`Fraction1of8`","`MD` `MU`","Fraction of water that can flow to the grid specified in previous column [-]"
66,"`GridConnection2of8`","`MD` `MU`","Number of the grid where water can flow to"
67,"`Fraction2of8`","`MD` `MU`","Fraction of water that can flow to the grid specified in previous column [-]"
68,"`GridConnection3of8`","`MD` `MU`","Number of the grid where water can flow to"
69,"`Fraction3of8`","`MD` `MU`","Fraction of water that can flow to the grid specified in previous column [-]"
70,"`GridConnection4of8`","`MD` `MU`","Number of the grid where water can flow to"
71,"`Fraction4of8`","`MD` `MU`","Fraction of water that can flow to the grid specified in previous column [-]"
72,"`GridConnection5of8`","`MD` `MU`","Number of the grid where water can flow to"
73,"`Fraction5of8`","`MD` `MU`","Fraction of water that can flow to the grid specified in previous column [-]"
74,"`GridConnection6of8`","`MD` `MU`","Number of the grid where water can flow to"
75,"`Fraction6of8`","`MD` `MU`","Fraction of water that can flow to the grid specified in previous column [-]"
76,"`GridConnection7of8`","`MD` `MU`","Number of the grid where water can flow to"
77,"`Fraction7of8`","`MD` `MU`","Fraction of water that can flow to the grid specified in previous column [-]"
78,"`GridConnection8of8`","`MD` `MU`","Number of the grid where water can flow to"
79,"`Fraction8of8`","`MD` `MU`","Fraction of water that can flow to the grid specified in previous column [-]"
80,"`WithinGridPavedCode`","`L`","Code that links to the fraction of water that flows from Paved surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_WithinGridWaterDist.txt. "
81,"`WithinGridBldgsCode`","`L`","Code that links to the fraction of water that flows from Bldgs surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_WithinGridWaterDist.txt. "
82,"`WithinGridEveTrCode`","`L`","Code that links to the fraction of water that flows from EveTr surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_WithinGridWaterDist.txt. "
83,"`WithinGridDecTrCode`","`L`","Code that links to the fraction of water that flows from DecTr surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_WithinGridWaterDist.txt. "
84,"`WithinGridGrassCode`","`L`","Code that links to the fraction of water that flows from Grass surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_WithinGridWaterDist.txt. "
85,"`WithinGridBSoilCode`","`L`","Code that links to the fraction of water that flows from BSoil surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_WithinGridWaterDist.txt. "
86,"`WithinGridWaterCode`","`L`","Code that links to the fraction of water that flows from Water surfaces to surfaces in columns 2-10 of SUEWS_WithinGridWaterDist.txt. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_WithinGridWaterDist.txt. "
87,"`AreaWall`","`MU`","Area of wall within grid (needed for ESTM calculation)."
88,"`Fr_ESTMClass_Paved1`","`MU`","Columns 88-90 must add up to 1"
89,"`Fr_ESTMClass_Paved2`","`MU`","Columns 88-90 must add up to 1"
90,"`Fr_ESTMClass_Paved3`","`MU`","Columns 88-90 must add up to 1"
91,"`Code_ESTMClass_Paved1`","`L`","Code linking to SUEWS_ESTMCoefficients.txt "
92,"`Code_ESTMClass_Paved2`","`L`","Code linking to SUEWS_ESTMCoefficients.txt "
93,"`Code_ESTMClass_Paved3`","`L`","Code linking to SUEWS_ESTMCoefficients.txt "
94,"`Fr_ESTMClass_Bldgs1`","`MU`","Columns 94-98 must add up to 1"
95,"`Fr_ESTMClass_Bldgs2`","`MU`","Columns 94-98 must add up to 1"
96,"`Fr_ESTMClass_Bldgs3`","`MU`","Columns 94-98 must add up to 1"
97,"`Fr_ESTMClass_Bldgs4`","`MU`","Columns 94-98 must add up to 1"
98,"`Fr_ESTMClass_Bldgs5`","`MU`","Columns 94-98 must add up to 1"
99,"`Code_ESTMClass_Bldgs1`","`L`","Code linking to SUEWS_ESTMCoefficients.txt "
100,"`Code_ESTMClass_Bldgs2`","`L`","Code linking to SUEWS_ESTMCoefficients.txt "
101,"`Code_ESTMClass_Bldgs3`","`L`","Code linking to SUEWS_ESTMCoefficients.txt "
102,"`Code_ESTMClass_Bldgs4`","`L`","Code linking to SUEWS_ESTMCoefficients.txt "
103,"`Code_ESTMClass_Bldgs5`","`L`","Code linking to SUEWS_ESTMCoefficients.txt "
